"UnitCode","Year","Visits"
"ALFL",2001,17198
"ALFL",2002,14878
"ALFL",2003,12682
"ALFL",2004,14088
"ALFL",2005,20438
"ALFL",2006,13180
"ALFL",2007,28202
"ALFL",2008,16084
"ALFL",2009,20434
"ALFL",2010,30456
"ALFL",2011,22502
"ALFL",2012,23678
"ALFL",2013,10890
"ALFL",2014,31588
"ALFL",2015,66444
"ALFL",2016,57072
"ALFL",2017,46288
"ALFL",2018,51908
"ALFL",2019,61926
"ALFL",2020,29884
"ALFL",2021,66682
"ALFL",2022,52642
"ALFL",2023,42042
"ALFL",2024,59908
"ALPO",1979,215225
"ALPO",1980,263646
"ALPO",1981,236992
"ALPO",1982,222618
"ALPO",1983,219832
"ALPO",1984,273504
"ALPO",1985,316328
"ALPO",1986,314100
"ALPO",1987,433846
"ALPO",1988,550778
"ALPO",1989,575566
"ALPO",1990,589766
"ALPO",1991,692654
"ALPO",1992,796526
"ALPO",1993,772108
"ALPO",1994,673202
"ALPO",1995,616320
"ALPO",1996,584468
"ALPO",1997,502308
"ALPO",1998,464704
"ALPO",1999,465554
"ALPO",2000,551628
"ALPO",2001,600598
"ALPO",2002,662644
"ALPO",2003,568520
"ALPO",2004,554070
"ALPO",2005,512180
"ALPO",2006,544344
"ALPO",2007,562730
"ALPO",2008,543272
"ALPO",2009,558228
"ALPO",2010,481766
"ALPO",2011,524636
"ALPO",2012,675252
"ALPO",2013,643742
"ALPO",2014,865776
"ALPO",2015,855284
"ALPO",2016,961071
"ALPO",2017,1027316
"ALPO",2018,958094
"ALPO",2019,961604
"ALPO",2020,699446
"ALPO",2021,955159
"ALPO",2022,926233
"ALPO",2023,1042488
"ALPO",2024,1019951
"AMCH",2024,21709
"AMIS",1979,19846556
"AMIS",1980,17285733
"AMIS",1981,18938878
"AMIS",1982,23948500
"AMIS",1983,23535332
"AMIS",1984,21292354
"AMIS",1985,19192496
"AMIS",1986,20302869
"AMIS",1987,20570835
"AMIS",1988,21621132
"AMIS",1989,22230736
"AMIS",1990,22280344
"AMIS",1991,20781885
"AMIS",1992,27143703
"AMIS",1993,26274815
"AMIS",1994,27541147
"AMIS",1995,24532547
"AMIS",1996,21298954
"AMIS",1997,18846031
"AMIS",1998,19424418
"AMIS",1999,20005595
"AMIS",2000,21199132
"AMIS",2001,18850761
"AMIS",2002,17779011
"AMIS",2003,18131309
"AMIS",2004,24400822
"AMIS",2005,23738324
"AMIS",2006,27502763
"AMIS",2007,29555762
"AMIS",2008,33697957
"AMIS",2009,43598689
"AMIS",2010,26885431
"AMIS",2011,24057531
"AMIS",2012,22769225
"AMIS",2013,17081604
"AMIS",2014,18823772
"AMIS",2015,20845109
"AMIS",2016,19423197
"AMIS",2017,20361661
"AMIS",2018,18504152
"AMIS",2019,21144374
"AMIS",2020,23683135
"AMIS",2021,18162951
"AMIS",2022,15431811
"AMIS",2023,14063746
"AMIS",2024,14029309
"ANDE",1979,906738
"ANDE",1980,760200
"ANDE",1981,682182
"ANDE",1982,624318
"ANDE",1983,665526
"ANDE",1984,606174
"ANDE",1985,710640
"ANDE",1986,778788
"ANDE",1987,780684
"ANDE",1988,779472
"ANDE",1989,816408
"ANDE",1990,788436
"ANDE",1991,908448
"ANDE",1992,858150
"ANDE",1993,819402
"ANDE",1994,973674
"ANDE",1995,939486
"ANDE",1996,1184364
"ANDE",1997,1178040
"ANDE",1998,1353918
"ANDE",1999,1095234
"ANDE",2000,1004238
"ANDE",2001,965844
"ANDE",2002,1140012
"ANDE",2003,903964
"ANDE",2004,995576
"ANDE",2005,794802
"ANDE",2006,792918
"ANDE",2007,922112
"ANDE",2008,957554
"ANDE",2009,817594
"ANDE",2010,729206
"ANDE",2011,652878
"ANDE",2012,737302
"ANDE",2013,592622
"ANDE",2014,763130
"ANDE",2015,820116
"ANDE",2016,805298
"ANDE",2017,792888
"ANDE",2018,828988
"ANDE",2019,621812
"ANDE",2020,382790
"ANDE",2021,270504
"ANDE",2022,360654
"ANDE",2023,466442
"ANDE",2024,437554
"ANIA",1989,167858
"ANIA",1990,85498
"ANIA",1991,67828
"ANIA",1992,80952
"ANIA",1993,72984
"ANIA",1994,67042
"ANIA",1995,0
"ANIA",1998,13264
"ANIA",1999,34496
"ANIA",2000,22404
"ANIA",2001,22314
"ANIA",2002,22384
"ANIA",2003,22694
"ANIA",2004,13198
"ANIA",2005,29648
"ANIA",2006,15978
"ANIA",2007,5402
"ANIA",2008,20
"ANIA",2009,1078
"ANIA",2010,16252
"ANIA",2011,8478
"ANIA",2012,1188
"ANIA",2013,19318
"ANIA",2014,19318
"ANIA",2015,15306
"ANIA",2016,11950
"ANIA",2017,11950
"ANIA",2018,11950
"ANIA",2019,11700
