"UnitCode","Year","Month","Statistic","Value","StateID"
"BLUE",2016,8,"TNRVH",0,"WV"
"BLUE",2016,9,"TRV",4964,"WV"
"BLUE",2016,9,"TNRV",0,"WV"
"BLUE",2016,9,"TV",4964,"WV"
"BLUE",2016,9,"TRVH",12410,"WV"
"BLUE",2016,9,"TH",12410,"WV"
"BLUE",2016,9,"CL",0,"WV"
"BLUE",2016,9,"CCG",0,"WV"
"BLUE",2016,9,"TT",0,"WV"
"BLUE",2016,9,"TRVS",0,"WV"
"BLUE",2016,9,"TTRV",0,"WV"
"BLUE",2016,9,"BC",0,"WV"
"BLUE",2016,9,"MISC",0,"WV"
"BLUE",2016,9,"NROS",0,"WV"
"BLUE",2016,9,"TOS",0,"WV"
"BLUE",2016,9,"TNRVH",0,"WV"
"BLUE",2016,10,"TRV",4356,"WV"
"BLUE",2016,10,"TNRV",0,"WV"
"BLUE",2016,10,"TV",4356,"WV"
"BLUE",2016,10,"TRVH",10890,"WV"
"BLUE",2016,10,"TH",10890,"WV"
"BLUE",2016,10,"CL",0,"WV"
"BLUE",2016,10,"CCG",0,"WV"
"BLUE",2016,10,"TT",0,"WV"
"BLUE",2016,10,"TRVS",0,"WV"
"BLUE",2016,10,"TTRV",0,"WV"
"BLUE",2016,10,"BC",0,"WV"
"BLUE",2016,10,"MISC",0,"WV"
"BLUE",2016,10,"NROS",0,"WV"
"BLUE",2016,10,"TOS",0,"WV"
"BLUE",2016,10,"TNRVH",0,"WV"
"BLUE",2016,11,"TRV",200,"WV"
"BLUE",2016,11,"TNRV",0,"WV"
"BLUE",2016,11,"TV",200,"WV"
"BLUE",2016,11,"TRVH",500,"WV"
"BLUE",2016,11,"TH",500,"WV"
"BLUE",2016,11,"CL",0,"WV"
"BLUE",2016,11,"CCG",0,"WV"
"BLUE",2016,11,"TT",0,"WV"
"BLUE",2016,11,"TRVS",0,"WV"
"BLUE",2016,11,"TTRV",0,"WV"
"BLUE",2016,11,"BC",0,"WV"
"BLUE",2016,11,"MISC",0,"WV"
"BLUE",2016,11,"NROS",0,"WV"
"BLUE",2016,11,"TOS",0,"WV"
"BLUE",2016,11,"TNRVH",0,"WV"
"BLUE",2016,12,"TRV",200,"WV"
"BLUE",2016,12,"TNRV",0,"WV"
"BLUE",2016,12,"TV",200,"WV"
"BLUE",2016,12,"TRVH",500,"WV"
"BLUE",2016,12,"TH",500,"WV"
"BLUE",2016,12,"CL",0,"WV"
"BLUE",2016,12,"CCG",0,"WV"
"BLUE",2016,12,"TT",0,"WV"
"BLUE",2016,12,"TRVS",0,"WV"
"BLUE",2016,12,"TTRV",0,"WV"
"BLUE",2016,12,"BC",0,"WV"
"BLUE",2016,12,"MISC",0,"WV"
"BLUE",2016,12,"NROS",0,"WV"
"BLUE",2016,12,"TOS",0,"WV"
"BLUE",2016,12,"TNRVH",0,"WV"
"ANTI",2016,1,"TRV",5906,"MD"
"ANTI",2016,1,"TNRV",0,"MD"
"ANTI",2016,1,"TV",5906,"MD"
"ANTI",2016,1,"TRVH",11812,"MD"
"ANTI",2016,1,"TH",11812,"MD"
"ANTI",2016,1,"CL",0,"MD"
"ANTI",2016,1,"CCG",0,"MD"
"ANTI",2016,1,"TT",0,"MD"
"ANTI",2016,1,"TRVS",0,"MD"
"ANTI",2016,1,"TTRV",0,"MD"
"ANTI",2016,1,"BC",0,"MD"
"ANTI",2016,1,"MISC",0,"MD"
"ANTI",2016,1,"NROS",0,"MD"
"ANTI",2016,1,"TOS",0,"MD"
"ANTI",2016,1,"TNRVH",0,"MD"
"ANTI",2016,2,"TRV",7372,"MD"
"ANTI",2016,2,"TNRV",0,"MD"
"ANTI",2016,2,"TV",7372,"MD"
"ANTI",2016,2,"TRVH",14745,"MD"
"ANTI",2016,2,"TH",14745,"MD"
"ANTI",2016,2,"CL",0,"MD"
"ANTI",2016,2,"CCG",0,"MD"
